character,series,wishlist
Yura,InuYasha,1
Payo,Edens Zero,0
Layla,Black Cat,1
Hunter,Bikini Warriors OVA,1
Barbatos,Obey Me!,18
Blackwell,Little Witch Academia TV,1
Nobunaga Oda,Drifters,3
Ume Aihara,Citrus,1
Crescent,Funny Pets,3
Michael,Seven Mortal Sins,1
Ponta,D_Cide Traumerei,2
Orgelt,REBORN!,0
Aika Hasegawa,Kurogane no Linebarrels Specials,0
Crow Johan,Saint Seiya Omega,0
Mugi Awaya,Scum's Wish,6
C-ko Kotobuki,Project A-Ko,1
Lou,Wish Me Mell,1
Lang,Maquia - When the Promised Flower Blooms,1
Yasui,Natsume's Book of Friends Season 3,1
Monmi,Batman Ninja,1
Sotheby,Reverse: 1999,7
Michaela,Campfire Cooking in Another World with My Absurd Skill,0
Class Rep,Clean Freak! Aoyama-kun,0
Barney,Inferious Wakusei Senshi Gaiden Condition Green,0
Alisa,Crest of the Stars,0
Shougen's Wife,Sword of the Stranger,0
Lucie Suginami,Dorei-ku the Animation,0
Kumiko Morishima,Healer Girl,0
Barox,Yu-Gi-Oh! Duel Monsters,1
Hanzawa Masato,Sasaki and Miyano,7
Marco Lasso,Shaman King,1
Trump,Flowering Heart,1
Danro Oze,Fire Force Season 2,1
Clay Morgan,Chaika: The Coffin Princess - Avenging Battle,0
Gannon,The Seven Deadly Sins: Revival of the Commandments,0
Tenryuu,Kantai Collection: Kan Colle,4
Professor Nomura,Kuuchuu Buranko,0
Dorf,That Time I Got Reincarnated as a Slime,1
Kokoro Katsura,School Days,1
Noa Takamine,The iDOLM@STER: Cinderella Girls,2
Nekonneru,Sailor Moon S,1
Miyabi,Ray the Animation,0
Kohaku,Wish,1
Seiou Li,Rental Magica,0
Tiki,Muhyo & Roji's Bureau of Supernatural Investigation,1
Amin,Romantic Killer,1
Ai Tsuchiya,K-On!!,1
Lord Samuel,Dragon Goes House-Hunting,0
Phantom Lady,Magic Kaito,1
Dynawing,SSSS.Dynazenon,1
Raidou,Dead or Alive,0
Manami,Day Break Illusion: il sole penetra le illusioni,0
Yokota Sensei,Keep Your Hands Off Eizouken!,1
Bard,Suicide Squad Isekai,0
Hatori's Mother,Alice & Zouroku,1
Zuizen,Mobile Fighter G Gundam,1
Matilda Ajan,Mobile Suit Gundam,1
Yuka Kanzaki,Golden Boy,1
Lampylumen Myriad,Wuthering Waves,1
Yokokawa,Shinobi no Ittoki,0
Grace O'Connor,Macross Frontier Movie 2: Sayonara no Tsubasa,0
Sky King,One-Punch Man,1
Shadows Commander,Fire Force Season 2,1
Melissa,"Diabolik Lovers More, Blood",1
Endoakiba,Log Horizon 2,0
Ariel Albus,The Pilot's Love Song,1
Kadaj,Final Fantasy VII: Advent Children,5
Shibusawa Keiji,Yakuza 0,2
Rapper,Peeping Life,1
Ganta Nakami,Insomniacs After School,15
Pionere,Monster,1
Ao,Naruto Shippuden,1
Kiliva,Log Horizon,1
Sand Land Inmate,The Kingdoms of Ruin,0
Tony Freed,Wise Man's Grandchild,1
Chiharu Wakamiya,Rebirth,0
Licht,HELIOS Rising Heroes,1
Ibrim,Megaton-kyuu Musashi,1
Emeraude,Tales of Graces,1
Chiba Kaori,Rainbow Days,1
Grasshopper,Pikotarou no Lullaby Lu-llaby,1
Mu Zhuoyun,Quanzhi Fashi,0
Antarcticite,Land of the Lustrous,35
Hotaru Rindou,Qualidea Code,1
Michiko Hokkai,Miss Monochrome 3,0
Cane,Fairy Musketeers,1
Eika Ebisu,Touhou Project,1
Barracuda,Mobile Suit Gundam: The Origin,1
Saori Izumi,Chargeman Ken!,1
Karin,Fena: Pirate Princess,1
Hayashi,The Kawai Complex Guide to Manors and Hostel Behavior,1
Healthy Minister,Chocolate Underground,1
Hana Takayashiki,After School Dice Club,1
Bud,The Alchemist Code,1
Mana Walker,D.Gray-man,1
Bertie,Nomad: Megalo Box 2,1
Ghost Cat,Obake-chan,1
Curry Bun Guy,Ranma ½,0
Charlotte,Genshin Impact,15
Guzuko,Lostorage Incited WIXOSS,1
Broho,Mobile Suit Victory Gundam,0
Chan Chan,Fatal Twelve,0
Jinko Udekata,Idol Time PriPara,0
Vance,The Mystic Archives of Dantalian,1
Azumi Hidaka,Wagamama Fairy: Mirumo de Pon!,1
9'Theta,DARLING in the FRANXX,1
Emma,The Alchemist Code,2
Calendula,Magical Canan,1
Shiro Kamiki,Dimension W,0
Michelle Aznable,Mobile Suit Gundam: The Origin,0
Manon Chapman,Mobile Fighter G Gundam,0
Harley Sutton,Chrome Shelled Regios,0
Kei,Kimi ga Suki. The Animation,1
Boy,ryo: Tsumi no Namae,1
Elaine,Tsukimichi: Moonlit Fantasy,1
Chiaki,Samurai 7,0
Miku,Akikan!,0
Lorna Endou,eX-Driver,0
Tanosuke,The Alchemist Code,1
Badbh,Shaman King,0
Sara,Granblue Fantasy,1
Xie Fei,Raven of the Inner Palace,0
Raid,Mahoujin Guru Guru (2017),0
Deux,Classroom for Heroes,1
Midori Sawaki,The Irregular at Magic High School,1
Mion,Battle Game in 5 Seconds,1
Misaki Kamiigusa,The Pet Girl of Sakurasou,6
Megu Kazamatsuri,Fuuto PI,1
Ninon,Princess Connect! Re: Dive,1
Ilim,Made in Abyss,1
Ikumatsu Nishiki,Gintama,1
Moss,Silver Fang,1
Mutsuko,After School Midnighters,0
Manako Jouten,The Disastrous Life of Saiki K. 2nd Season,1
Jessica Bailey,Date a Live II,1
Anna,Deltora Quest,1
S Tunnel Ghost,Dark Gathering,1
Fuuka Gojou,Gensou Rougoku no Kaleidoscope,1
Molly,Recovery of an MMO Junkie,1
Mekira,Samurai Deeper Kyo,0
Tae Seragaki,DRAMAtical Murder,1
White Lactic Acid Cell,Cells at Work!!,1
Four-Nines,Star Wars: Visions,1
Nilgistori,Tsukimichi: Moonlit Fantasy,1
Sayuri Tenjo,Devils' Line,0
Kon the Knight,Dragon Quest: Your Story,1
Kyou Yahagi,Cardfight!! Vanguard,1
Inaba,Prima Doll,1
Aleister Crowley,Undead Girl Murder Farce,1
Morina Nanase,Piace: Watashi no Italian,0
Shigeo Aihara,Itazura na Kiss,1
Tatiana Vishneva,Nodame Cantabile: Paris,0
Ragoumaru,Log Horizon 2,0
Barret Wallace,Final Fantasy VII,20
Wolf Bete,Miss Kuroitsu from the Monster Development Department,4
Sunwoo Nare,Tower of God,1
Rera,Dragon Goes House-Hunting,0
Bauu,Devilman,1
Nekota Tsuna,Virtual eSports Project,8
Captain,Kaichuu!,1
Akira Kanenarashi,Akahori Gedou Hour Rabuge: Zettai Seigi Love Pheromone,0
SOTETSU,BLACKSTAR -Theater Starless-,1
Cop B,Akira,1
Isolet,King's Raid,1
Peppy Hare,Star Fox Zero: The Battle Begins,1
Bulla,Dragon Ball Z,1
Ckia,Hololive ID,4
Kazutaka Muraki,Descendants of Darkness,1
James Ray Steam,Steamboy,1
Paylong,The God of High School,1
Yuki Ushimaru,School Babysitters,1
Jessica,Triage X,1
Kijima,High-Rise Invasion,1
Ordinary Cell,Cells at Work!!,1
Mami,River City Girls,1
Yumi,SoniAni: Super Sonico the Animation,1
Marie Yaguchi,Blue Period,1
Ruru Kitani,Idol Incidents,1
Shinji,Texhnolyze,1
Brother One,Afro Samurai,1
Genbu,Dr. Stone,1
Loki,Saint Seiya Movie 2: The Heated Battle of the Gods,1
Holly,Monster Rancher 2,1
Napoleon,One Piece,1
Goethe,The Kingdoms of Ruin,1
Masque de Corbeau,Sakura Wars 3: Is Paris Burning?,1
Hinano,When Will Ayumu Make His Move?,1
Sabine,"Saving 80,000 Gold in Another World for My Retirement",2
Sekai Kamiki,Gundam Build Fighters Try,1
Charm Fragrance,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,1
Titan,Dr. Stone,1
Luminito Aidilichpa,Sweet Reincarnation,1
Galda,Slayers: The Book of Spells,1
Barbatos Goetia,Tales of Destiny 2,1
Korwa,Granblue Fantasy,5
Harpie Lady 1,Yu-Gi-Oh! Duel Monsters,1
Grucius,That Time I Got Reincarnated as a Slime 2nd Season,1
Anzu,Hinamatsuri,5
YoYo,Rescue YoYo,1
Arion Rosemarine,Song of Wind and Trees,1
Void,Berserk,3
Blau,Panzer Dragoon,1
Oicho,Megalo Box,1
Genji Kurahashi,Tokyo Ravens,1
Guko,Mon Colle Knights,1
Izuru Kamukura,Danganronpa 2: Goodbye Despair,19
Kikuri-Hime,Devil Survivor 2: The Animation,1
Kai,Yoshimaho,1
Captain Bones,Magic Tree House,1
Sana Kaizu,_summer,0
Marine,Re:Creators,1
Sanji the Monkey,Planetes,2
Blue Tengu,The House of the Lost on the Cape,1
Sayaka Dejima,Seitokai Yakuindomo,1
YAKOU,BLACKSTAR -Theater Starless-,1
Carla Fou Wayne,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,2
Helmeppo,One Piece,1
Woodpecker,Do It Yourself!!,1
Tatsumi Yamada,Yamada-kun and the Seven Witches,1
L.A.,El Cazador de la Bruja,1
Noa Himesaka,WATATEN! an Angel Flew Down to Me,1
Issei's Mother,High School DxD,1
Psycho Gundam Mk-II,Mobile Suit Zeta Gundam,1
Hatoko Kushikawa,When Supernatural Battles Became Commonplace,1
Nekohime,And you thought there is never a girl online?,1
Makaba,Fena: Pirate Princess,1
Mimete,Sailor Moon S,1
Armstrong,Pluto,0
Yuriko Hiraga,Master Keaton,1
Mitsuo Kumatani,Uramichi Oniisan,4
Momo Minamoto,Release the Spyce,1
Watchmon,Digimon Universe: Appli Monsters,1
Mugai,Mushibugyou,1
"Wrinkle Rat 51st Unit, 1st Strike Team Captain",Mahoujin Guru Guru (2017),1
Sensei,"In the Other World, Ghost Groups Are Everything!",1
Jim Thorne,Karakuri Circus,1
Belle,Le Chevalier D'Eon,1
François Augustin Reynier de Jarjayes,The Rose of Versailles,1
Granny,Gokudo,1
Towa,Log Horizon 2,1
Blue Genie,Majokko Tsukune-chan,1
Benno,Ascendance of a Bookworm,5
Kaval,That Time I Got Reincarnated as a Slime,1
Hari,Miyuki-chan in Wonderland,1
AKIRA,BLACKSTAR -Theater Starless-,2
Norman Osborn,Marvel Future Avengers,1
Kinoshita,Ishida and Asakura,1
Soshun,Afro Samurai,0
Elza,Space Adventure Cobra,1
Millennium Scale,Yu-Gi-Oh! Duel Monsters,1
Ishuna,The Alchemist Code,1
Yinghua,The Apothecary Diaries,4
School Bully,Jujutsu Kaisen 0,1
Homura,Sekirei,1
Strider Hiryu,Strider,1
Foreigner,Kick & Slide,0
Mitsusou Soroi,Kill La Kill,1
Zodd,Berserk,12
Man,Initial D Final Stage,1
Dahlia,Highlander: The Search for Vengeance,1
Masaru Hyuga,Captain Tsubasa (2018),1
Kotaro's Teacher,Kotaro Lives Alone,1
Haruo Sato,Haunted Junction,1
Akina,Tsukimichi: Moonlit Fantasy,1
Chihiro Onizuka,Hi Score Girl,1
Rei's Younger Brother,Outburst Dreamer Boys,1
Chelsea Torn,Tales of Destiny,1
Juuouin Company Staff Member,King of Prism: Shiny Seven Stars,1
Bart,Time Jam: Valerian & Laureline,1
Toshikazu Hazamada,JoJo's Bizarre Adventure: Diamond Is Unbreakable,2
Ippachi the Hawkeye,Revenger,1
Lee Shin,Bloodivores,1
Liechtenstein,Hetalia: Axis Powers,5
Kerioyl,"Reborn as a Vending Machine, I Now Wander the Dungeon",1
Sarah Bynes,Sushi Police,1
Lieutenant Kyte,Crest of the Stars,1
Alex,Wizardry,1
Game Shop Afro Owner,16bit Sensation: Another Layer,1
Morten,Nils no Fushigi na Tabi Movie,1
Gemini Two,Star Twinkle Precure,1
Tim Linton,Reign of the Seven Spellblades,1
Bikara,Samurai Deeper Kyo,1
Letty Whiterock,Touhou Project,2
Hugo Morini,Violet Evergarden Special,1
Kintoleski,Precure All Stars DX2: Kibou no Hikari - Rainbow Jewel o Mamore!,1
Kaoru's Mother,Sailor Moon R,1
Akira Otoishi,JoJo's Bizarre Adventure: Diamond Is Unbreakable,2
Elvira Hill,Buddy Complex,1
Eraser Kaiser,Cautious Hero: The Hero Is Overpowered but Overly Cautious,1
Uka-no-mitama-no-kami,Inari Kon Kon,1
Hibiki Natsume,Ensemble Girls!,1
Todd McCormick,Najica Blitz Tactics,1
"Pass, No Fail",Drugstore in Another World: The Slow Life of a Cheat Pharmacist,1
Souma Azemichi,Burning Kabaddi,1
Rosalinde Buch,Schwarzesmarken,1
Evil Grademon,Digimon Xros Wars,1
Xing-Xing,Titipo Titipo,1
Narinki,One-Punch Man 2,1
Muzi Li,Wo De Tian Jie Nuyou,1
Cis,The Animatrix,2
Osmanthus Cake,Food Fantasy,1
Dollmanstein,Doraemon: Nobita's Dinosaur,1
Maki Watabe,Vlad Love,1
Lizardman,The Alchemist Code,1
Himeko,Kemonozume,1
Tsubaki,Fena: Pirate Princess,1
Loulan,The Apothecary Diaries,44
Eriko Oniyama,Yurikuma Arashi,1
Velvet Crowe,Tales of Berseria,51
Gunpei Kawahara,Yowamushi Pedal: New Generation,1
Bard,Berserk of Gluttony,0
Gyan,Mobile Suit Gundam,1
Ma Morita,Mainichi Kaasan,1
GM Cannon,Mobile Suit Zeta Gundam,1
Oryou,Girls und Panzer,1
Etoile,The Heroic Legend of Arslan (1991),1
Tournament Announcer,The Reincarnation of the Strongest Exorcist in Another World,1
Peppoko,One Piece,1
Yukihiko Matsura,GANTZ,1
Ganbo,Yuru Yuri,1
Namiko Shami,Dark Gathering,0
Milon,Edens Zero,1
Ruriko Shippou,Master of Torque 3,1
Katsumata,Parasyte -the maxim-,1
Revival Jam,Yu-Gi-Oh! Duel Monsters,1
Lead,Mitchiri Neko,1
Hutt River,Hetalia: The World Twinkle,1
Flying Type Alca-Noise,Symphogear GX,1
Morita,Durarara!!,1
Kohinata Himawari,Edomae Elf,1
Dist the Reaper,Tales of the Abyss,1
Su-27 Zhuravlik,Muv-Luv Alternative: Total Eclipse,1
Oboro Bishamon,Vampire Savior: The Lord of Vampire,2
Shuuhei Amamiya,Piano no Mori (2018),1
Lantis,Magic Knight Rayearth,1
Lisa Tepes,Castlevania,12
Aoi Wakakusa,ARGONAVIS from BanG Dream!,1
Hina Midorikawa,Smile Precure!,1
Yami Marik,Yu-Gi-Oh! Duel Monsters,9
Omi,Taishou Mebiusline: Chicchai-san,1
Claire François,Watashi no Oshi wa Akuyaku Reijou.,63
Lucha Fong,Tokyo Mew Mew,1
Bossy Old Woman,Kino's Journey -the Beautiful World- the Animated Series,1
Yuri Sakazaki,Art of Fighting,2
Toy Emperor,Yu-Gi-Oh! GX,1
Camilla,Kemono Michi: Rise Up,1
Nikoniko,Hetalia: The World Twinkle,1
Tusk,Cross Ange: Rondo of Angels and Dragons,1
Johnny,One Piece,1
Marron,Dragon Ball Z,1
Willow Schnee (Dream Actor),RWBY: Ice Queendom,1
Won,The Alchemist Code,1
Tsuda Sukehiro,Tenka Hyakken: Meiji-kan e Youkoso!,1
Mikio Date,Sandwhichman Touhoku Ai Bottle,1
Acht,The Alchemist Code,5
Ujiyasu Houjou,Samurai Warriors,1
Izumi Maki,Martian Successor Nadesico,1
Kaya,Princess Mononoke,1
Gundam Zebra,Mobile Fighter G Gundam,1
Fafnir,Little Witch Academia TV,1
Yaeko Nishimiya,A Silent Voice,4
Hacka Doll No. 3,Hacka Doll the Animation,1
Shouko Shiginuma,Libra of Nil Admirari,1
Obelisk the Tormentor,Yu-Gi-Oh! Duel Monsters,17
Kazari Otogi,Nanbaka,1
Jimba Ral,Mobile Suit Gundam: The Origin,1
Nakaido Hirosuke,Ajimu: Kaigan Monogatari,0
Ryuichi Robson,Terra Formars: Revenge,1
Lastismoon,Farming Life in Another World,2
Ango,7 Seeds,1
Poker,One Piece,1
Shapeshifter,Dungeon Meshi,1
Hamu,One Piece Special 1: Adventure in the Ocean's Navel,1
Cob Portaport,Black Clover,1
Arisa Matsuda,"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",1
Toko Hattori,The iDOLM@STER: Cinderella Girls,1
Borareta,Dragon Ball Super,1
Crux,Fairy Tail,1
Misa Nishimori,Charlotte,4
Emma Halford,Sugar Apple Fairy Tale,1
Koubu (Sakura),Sakura Wars: Ouka Kenran,1
Raoul,Tales of Luminaria,1
Dire Wolf,Dungeon Meshi,2
Zolgstar Mezekis,The Demon Sword Master of Excalibur Academy,0
Chop-Chop Fruit,One Piece,3
Harvar D. Eclair,Soul Eater,1
Raul Nord,Is It Wrong to Try to Pick Up Girls in a Dungeon?,1
Keiichi Maebara,When They Cry: Higurashi,21
Kiri Komori,"Sayonara, Zetsubou-Sensei",2
Milkman,Night on the Galactic Railroad,1
Kurkur,gdgd Fairies,1
Domon Kasshu,Mobile Fighter G Gundam,7
Namiji,Sekirei: Pure Engagement,1
Naosumi Kadoguchi,Eyeshield 21,1
Eri,The Vampire Dies in No Time,1
Opus,In the Land of Leadale,1
Lifestide Lake Serpent,Shangri-La Frontier,1
Ushio Mizushima,Ensemble Girls!,1
Jouji Saiga,Psycho-Pass,1
Atsushi Henmi,Jin-Roh: The Wolf Brigade,1
Seren,Show by Rock!!#,1
Kuraudo Oishi,When They Cry: Higurashi,1
Hideo Aranami,Triage X,1
Koruri Tokitani,Girl Friend BETA,1
Toshizou Hijikata,Golden Kamuy,2
Eris McClain,"The Fruit of Evolution: Before I Knew It, My Life Had It Made",1
Krim,Maquia - When the Promised Flower Blooms,1
Lulutia,By the Grace of the Gods,1
Pastry Mille Morteln,Sweet Reincarnation,4
Tsao-lon,Zatch Bell!,1
Trypio,Beyblade,1
Yukidarumon,Digimon Adventure,1
Master Gatari,Mahoujin Guru Guru (2017),1
Taj,Radiant,1
Roanna Fontaine,Seirei Gensouki: Spirit Chronicles,1
Mika,Venus Versus Virus,1
Maya Rosario,Nomad: Megalo Box 2,3
Downing,Sugar Apple Fairy Tale,1
David Eagle,Hajime no Ippo: Rising,1
Charles,Heavy Object,1
Chilchuck,Dungeon Meshi,112
KEI,BLACKSTAR -Theater Starless-,2
Dehdeh,Children of the Sea,2
Nobbu,Fate/Grand Order,12
Boatman Droid,Star Wars: Visions,1
Zaburn,Rumble Garanndoll,1
Ryuuji,One Piece,1
Hyoma Chigiri,Blue Lock,226
Noelle Silva,Black Clover,270
Benimaru Shinmon,Fire Force,337
Zeno Zoldyck,Hunter x Hunter,18
Eika Hizutome,Shangri-La Frontier,1
Treasure Chest,"The Fruit of Evolution: Before I Knew It, My Life Had It Made",1
Satomi Sakakibara,The iDOLM@STER: Cinderella Girls,1
Kofuku Ebisu,Noragami,26
Gensei Suou,Alya Sometimes Hides Her Feelings in Russian,1
Mitama,KamiKatsu: Working for God in a Godless World,11
Nightmare,Soul Edge,9
Carlo,Romeo no Aoi Sora,1
Acid Slime,By the Grace of the Gods,1
Silene,Devilman,1
Lahar,Fairy Tail,1
Guilhem,Restaurant to Another World,1
Masaru Daimon,Danganronpa Another Episode: Ultra Despair Girls,2
Nanaki Nanamegi,18TRIP,4
Rinko Shirokane,BanG Dream!,33
Lloyd Vulgast Llinger,The Wrong Way to Use Healing Magic,0
Medusa,Doraemon: Nobita's Great Adventure into the Underworld,1
Rose,Combatants Will Be Dispatched!,3
Tsuneo Suzukawa,"Josee, the Tiger and the Fish",19
Female Warrior,Sol Levante,1
Kanae Kanari,Maesetsu! Opening Act,0
Sugata Shindou,Star Driver the Movie,1
Shishiro Botan,Hololive: Holo no Graffiti,82
Keigo Saikawa,School Babysitters,3
Dot Barrett,Mashle,23
Kinari Azekawa,18TRIP,8
Lyserg Diethel,Shaman King,1
Mii,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",5
Kaonashi,Spirited Away,67
Puck,Berserk: Golden Age Arc II - The Battle for Doldrey,31
Crimson Beherit,Berserk,4
Kazari Uiharu,A Certain Scientific Railgun,8
Flora Sakutou,Farming Life in Another World,1
Tsubaki Aoyagi,D4DJ First Mix,11
Rackam,Granblue Fantasy the Animation,1
Hannah,Berserk (2017),1
Rickert,Berserk,1
Miyuki Sakaigawa,ARGONAVIS from BanG Dream!,2
Lisanna Strauss,Fairy Tail,10
Rutile,Mahoutsukai no Yakusoku,4
Ayuna Hamakawa,The iDOLM@STER: Cinderella Girls,1
Hiyono Sasame,Ensemble Girls!,1
Knives Chau,Scott Pilgrim Takes Off,45
Runa Shirakawa,Our Dating Story: The Experienced You and The Inexperienced Me,79
Shiori Novella,Hololive EN,101
Alisa Hara,Circlet Princess,1
Reita Toritsuka,The Disastrous Life of Saiki K.,5
Yuusaku Fujiki,Yu-Gi-Oh! VRAINS,10
Doshi,"BASTARD!! -Heavy Metal, Dark Fantasy-",1
Hosokawa,Mezzo,0
Shirou,Kyoshin to Hyouka no Shiro,1
Unazuki Furuhata,Sailor Moon R,1
Chifuyu Yukishiro,Senryuu Girl,1
Stephen Stills,Scott Pilgrim Takes Off,5
Ryouya Misato,Bakuten!!,3
Filmina,"Reborn as a Vending Machine, I Now Wander the Dungeon",1
Miledi Reisen,Arifureta: From Commonplace to World's Strongest,1
Ikaros's Watermelon,Heaven's Lost Property,4
Student Council President,Happiness Charge Precure!,0
Klaus von Lichtenlade,Legend of the Galactic Heroes,0
Masaru Kobayashi,Kaguya-sama: Love Is War – Ultra Romantic,1
Itsuki Tomofusa,Blood-C,1
Piano Teacher,Licca-chan Fushigi na Mahou no Ring,1
Kyousuke Tsutsumi,ef - a tale of memories,1
Mr. Clown,Yu-Gi-Oh!: The Dark Side of Dimensions,1
North #2,Pluto,7
Aamon,Dragon Goes House-Hunting,1
Ayumi Aida,Dokidoki! Precure,0
Harumi Kiyama,A Certain Scientific Railgun,1
Skiddo,Pokémon XY,1
Susumu Iwata,Inuyashiki: Last Hero,0
Shuichirou Oishi,The Prince of Tennis,1
Red Pickles,Pickles the Frog: The Color of Feeling,4
Ash's Grotle,Pokémon: Diamond & Pearl,1
Papa,Initial D,1
Hanmyo,Outlaw Star,1
Suzuki Alien,GANTZ,1
Burio,My Bride Is a Mermaid,1
Scorp,Yes! Precure 5 GoGo!,0
Hidemoto Keikain the 27th,Nura: Rise of the Youkai Clan - Demon Capital,0
Yonka,One Piece,1
Paula,In Another World with My Smartphone,1
Shinosuke Todo,Junjou Romantica 3,1
Slaghf,Ys,0
Sarah,BuBu ChaCha,1
Kenta Akamatsu,King's Game,0
Yuisis,Granblue Fantasy,2
Regent-kun,Anime Kapibara-san,1
Masashi Nozawa,GeGeGe no Kitarou (2018),0
Delia Ketchum,Pokémon,2
Asahi Serizawa,The iDOLM@STER Shiny Colors,2
Kushana,Nausicaa of the Valley of the Wind,2
Adam Whiteley,Moriarty the Patriot,1
Gomamon,Digimon Adventure,7
Someji Kawamoto,March comes in like a lion,1
Ling Ling,Yaoguai Mingdan 2nd Season,1
Louis Veelong,Kyo Kara Maoh!,1
Kengo Murasame,Slam Dunk,0
Mamba,Dragon Ball GT: A Hero's Legacy,1
Muwi,Epic Seven,1
Takeo Murase,Ashita no Joe,1
Matsu,Princess Nine,0
Yuna Nounen,Classroom Crisis,0
Izor,Maquia - When the Promised Flower Blooms,0
Rina,Onyankopon,0
Sley,Scrapped Princess,1
Alice Nanno,Majo Koi Nikki,1
Cointreau Dorova,Sweet Reincarnation,0
Rokurouta Sakuragi,Rainbow: Nisha Rokubou no Shichinin,11
Hisoka,Hunter x Hunter,603
Guideau,The Witch and the Beast,49
Darley Clatter,Reverse: 1999,1
Kaho Komiya,The iDOLM@STER Shiny Colors,4
Subaru Mimura,2.43: Seiin Koukou Danshi Volley-bu,1
White Primigenius,Kaiju No. 8,0
Tendo Rui,IDOLY PRIDE,2
Shinichi Okazaki,Nana,29
Judas,Tales of Destiny 2,2
Lee Geonguk,Solo Leveling,1
Hayasaka Mei,IDOLY PRIDE,2
Junya Azuma,Takopi’s Original Sin,1
Glanz,The Alchemist Code,1
Enhanced Person Number 4,Mobile Suit Gundam: The Witch from Mercury,2
Rinami Himesaki,Gakuen iDOLM@STER,7
Meryl Ironheart,Tower of Fantasy,23
Rin Kaenbyou,Touhou Project,7
Kenichi Shirahama,History's Strongest Disciple Kenichi,10
Shizuka,World Dai Star,1
Subaru Nagayoshi,"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",2
Lord Boros,One-Punch Man,10
Roselia Ishtaris,The Demon Sword Master of Excalibur Academy,9
Misono Ichika,Amairo Chocolate,5
Vier,The Alchemist Code,1
Rie Morita,Bible Black Origins,1
Kogasa Tatara,Touhou Project,5
Botan Komatsu,Ensemble Girls!,2
Ankh,The Alchemist Code,1
Chris Koron,The iDOLM@STER SideM,1
Naomichi Yamada,Hajime no Ippo: The Fighting!,1
Keisuke Takahashi,Initial D,16
Hana Midorikawa,Prison School,18
Susanoo,Akame ga Kill!,12
Old Lady,Dark Gathering,0
Kazuki Ryuusen,The Wrong Way to Use Healing Magic,1
EVA-Beatrice,Umineko: When They Cry,1
Tsushima,"Ore, Tsushima",9
Chief,The Ice Guy and His Cool Female Colleague,1
Raindrop Cake,Food Fantasy,12
Francesco Montelli,Wuthering Waves,1
Nui Harime,Kill La Kill,11
Crono,Chrono Trigger,10
Netaro Yowa,18TRIP,7
Daga,Farming Life in Another World,1
Chris Redfield,Resident Evil: Vendetta,76
Anna,The Kingdoms of Ruin,1
Chito,Girls' Last Tour,58
Linhardt von Hevring,Fire Emblem: Three Houses,5
Juval 087,Metallic Rouge,0
Cristallo,Reverse: 1999,2
Elizabeth Klyrode,Chillin' in Another World with Level 2 Super Cheat Powers,2
Amyu,The Reincarnation of the Strongest Exorcist in Another World,1
Hebinuma's Maid A,Kowloon Generic Romance,0
Iris X. Stellamaris,Wistoria: Wand and Sword,3
Sonetto,Reverse: 1999,25
Sakaki Inui,Place to Place,2
HK416,Girls' Frontline,12
Lingyang,Wuthering Waves,35
Ikki Kurogane,Chivalry of a Failed Knight,20
Frill,Wonder Egg Priority,13
Masachika Kuze,Alya Sometimes Hides Her Feelings in Russian,49
Letty,Dragon Goes House-Hunting,2
Gerard Valkyrie,Bleach: Sennen Kessen-hen,4
Mano Sakuragi,The iDOLM@STER Shiny Colors,3
Isane Kotetsu,Bleach,23
Love Aikawa,Bleach,1
Saori Hidaka,D4DJ First Mix,1
Shotaro Kaneda's Bike,Akira,11
Kosuzu Motoori,Touhou Project,2
Haruhi Fujioka,Ouran High School Host Club,146
SAM,Honkai: Star Rail,9
Wen Ning,Mo Dao Zu Shi,19
Donald Trump,"Hey, President Trap-kun!",38
Nina Ichihara,The iDOLM@STER: Onegai Cinderella,2
Carlotta,Wuthering Waves,228
Momiji Inubashiri,Touhou Project,13
Yomi,The Alchemist Code,1
Roy,Fire Emblem: The Binding Blade,23
Ami Futami,The iDOLM@STER: Xenoglossia,1
Ryan,An Archdemon's Dilemma: How to Love Your Elf Bride,0
Aalto,Wuthering Waves,21
Abbey Bominable,Monster High: Kowai-ke Girls,10
Takamine Hitomi,Medalist,1
Yuri Hanaoka,The Dreaming Boy is a Realist,0
Kenshiro,Fist of the North Star,14
Medicine Pocket,Reverse: 1999,30
Juushiro Ukitake,Bleach,29
Eiki Shiki,Touhou Project,6
Flamecrest Gladiator,Wuthering Waves,0
Dandy,Space Dandy,28
Snow White,Nikke: Goddess of Victory,29
Jin,Granblue Fantasy,1
Yoshino Yorita,The iDOLM@STER: Cinderella Girls Theater 2nd Season (Web),1
Ambrosia,The Alchemist Code,1
Confectionery Seller,The Café Terrace and Its Goddesses,5
Mill,The Wrong Way to Use Healing Magic,0
Sango,InuYasha,23
Park Bum Jae,Lookism,3
Ratcatcher,Suicide Squad Isekai,1
Abel Nightroad,Trinity Blood,10
Nu Er Hong,Food Fantasy,2
Matt,Death Note,16
Flash Sylvia,Metallic Rouge,4
Driscoll Berci,Bleach: Sennen Kessen-hen,1
Dian de Saloum,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,1
