character,series,wishlist
Misuzu Hataya,Gakuen iDOLM@STER,6
Mami Futami,The iDOLM@STER: Xenoglossia,1
Leone,Akame ga Kill!,75
Pain,Naruto Shippuden,177
Asmodeus,Obey Me!,54
Hawk,The Seven Deadly Sins,37
Flower Pin,Takopi’s Original Sin,2
Xerneas,Pokémon: Diancie and the Cocoon of Destruction,9
Riku Togakushi,Bleach: Sennen Kessen-hen,0
James,Bleach: Sennen Kessen-hen,1
Psyger-0,Shangri-La Frontier,18
Kazuhiko Nukumizu,Makeine: Too Many Losing Heroines!,10
Ebina,Kaiju No. 8,0
Phantom Verde,Metallic Rouge,0
Alencia,Epic Seven,1
Felicia Mitsuki,Magia Record: Puella Magi Madoka Magica Side Story,1
Lisbeth,Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells,3
Ahab,Wuthering Waves,0
Magia Baiser,Gushing over Magical Girls,167
Leberblume,Gushing over Magical Girls,10
Ash Ketchum,Pokémon,178
Takamido,Sakamoto Days,0
Toji Fushiguro,Jujutsu Kaisen 2nd Season,1741
Colette Loire,Wistoria: Wand and Sword,55
Dikke,Reverse: 1999,4
Jill Sturgeon,Metallic Rouge,0
Keiji Itami,Kaiju No. 8,1
Manuela,An Archdemon's Dilemma: How to Love Your Elf Bride,1
Makima,Chainsaw Man,2588
Lilynette Gingerback,Bleach,2
Male Rover,Wuthering Waves,57
Johnny Joestar,JoJo's Bizarre Adventure: Steel Ball Run,403
Silence Suzuka,Uma Musume: Pretty Derby,51
Immobile Grauphon,Metallic Rouge,2
Cerydra,Honkai: Star Rail,86
Nadeko Sengoku,Bakemonogatari,76
Kamisato Ayato,Genshin Impact,242
Ultimate Madoka,Puella Magi Madoka Magica,40
Killua Zoldyck,Hunter x Hunter,1872
Yume Narumiya,The iDOLM@STER: Cinderella Girls,1
Nobara Kugisaki,Jujutsu Kaisen,822
Changli,Wuthering Waves,519
Sethos,Genshin Impact,11
Xie Lian,Tian Guan Ci Fu,377
Shizuku,Hunter x Hunter,332
Wakaba,Go! Go! Loser Ranger!,0
Blue Keeper,Go! Go! Loser Ranger!,3
Mya,Wuthering Waves,1
Minimalist,Sakamoto Days,1
Kei Uzuki,Sakamoto Days,29
Mem,Honkai: Star Rail,7
Naruto Uzumaki,Naruto,1546
Shinobu Oshino,Bakemonogatari,217
Nessie,Dandadan,4
Tanjirou Kamado,Demon Slayer: Kimetsu no Yaiba,2418
Blue Maintenance Worker,Go! Go! Loser Ranger!,0
Vivian Banshee,Zenless Zone Zero,239
Durin,Genshin Impact,188
Kaiju No. 10,Kaiju No. 8,5
Kaiju No. 9,Kaiju No. 8,3
Angelica Yukino,Go! Go! Loser Ranger!,1
Shinta Ruri,Go! Go! Loser Ranger!,0
Megumin,KonoSuba: God's blessing on this wonderful world!,922
Masurao Nadeshiko,Go! Go! Loser Ranger!,1
Blue Knight,Tokyo Mew Mew,1
Delta,The Eminence in Shadow,716
Sol,Neural Cloud,1
Fighter F,Go! Go! Loser Ranger!,1
Thundercrest Gladiator,Wuthering Waves,0
Caitlyn,Arcane,303
Sylpha Langlis,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,226
Calcified Junrock,Wuthering Waves,0
Receptionist,Go! Go! Loser Ranger!,0
Konno,Go! Go! Loser Ranger!,0
Lupusregina Beta,Overlord,53
Riku Shion,Go! Go! Loser Ranger!,1
Ul-Tora Tiger,Go! Go! Loser Ranger!,0
Renner Theiere Chardelon Ryle Vaiself,Overlord II,13
Sayaka Miki,Puella Magi Madoka Magica,94
AZKi,Hololive: Holo no Graffiti,23
Fighter T,Go! Go! Loser Ranger!,1
Fighter B,Go! Go! Loser Ranger!,1
Duster Boss,Go! Go! Loser Ranger!,0
Angel Usukubo,Go! Go! Loser Ranger!,7
Devotee's Flesh,Wuthering Waves,0
Harsetti,Epic Seven,4
Hibiki Sakurama,Go! Go! Loser Ranger!,4
Opera,Metallic Rouge,4
